iter	Logloss
1935	0.5723423822
1936	0.5723370059
1937	0.5723324397
1938	0.5723232296
1939	0.572315555
1940	0.572309001
1941	0.5723033379
1942	0.5722983126
1943	0.5722928487
1944	0.5722835103
1945	0.5722759269
1946	0.5722647188
1947	0.5722571388
1948	0.5722474359
1949	0.5722398761
1950	0.5722335313
1951	0.5722257217
1952	0.5722185231
1953	0.5722108958
1954	0.5722057997
1955	0.5721996843
1956	0.5721899848
1957	0.5721826613
1958	0.5721755605
1959	0.5721643322
1960	0.5721564146
1961	0.5721493948
1962	0.5721348726
1963	0.5721266614
1964	0.5721210186
1965	0.5721150146
1966	0.5721106036
1967	0.5721020482
1968	0.5720934827
1969	0.5720868544
1970	0.5720757172
1971	0.5720641548
1972	0.5720563925
1973	0.5720516035
1974	0.5720458999
1975	0.5720401828
1976	0.572032002
1977	0.5720237234
1978	0.572012107
1979	0.5720037811
1980	0.5719978345
1981	0.571986947
1982	0.5719820872
1983	0.5719713448
1984	0.5719623642
1985	0.571955719
1986	0.5719477272
1987	0.5719400561
1988	0.5719330599
1989	0.5719263236
1990	0.5719186051
1991	0.571910799
1992	0.5719057265
1993	0.5718983692
1994	0.571890833
1995	0.5718829391
1996	0.571874296
1997	0.5718665438
1998	0.5718596691
1999	0.5718517988
2000	0.5718342392
2001	0.5718271485
2002	0.5718184345
2003	0.5718147457
2004	0.571808627
2005	0.5718051374
2006	0.5717994135
2007	0.5717948034
2008	0.5717879085
2009	0.5717810405
2010	0.5717737068
2011	0.5717658467
2012	0.5717588269
2013	0.5717538354
2014	0.5717449121
2015	0.5717303359
2016	0.5717226782
2017	0.5717117638
2018	0.5717045246
2019	0.5716993543
2020	0.5716951559
2021	0.5716891249
2022	0.5716806269
2023	0.5716722875
2024	0.5716631719
2025	0.5716558618
2026	0.5716500536
2027	0.5716461893
2028	0.5716402697
2029	0.5716333309
2030	0.5716246405
2031	0.5716193723
2032	0.5716129465
2033	0.5716039962
2034	0.5715973713
2035	0.5715914281
2036	0.5715874862
2037	0.5715788296
2038	0.5715720359
2039	0.5715658328
2040	0.5715604397
2041	0.5715539531
2042	0.5715478074
2043	0.5715409361
2044	0.5715346081
2045	0.5715244632
2046	0.57151852
2047	0.5715105214
2048	0.5715029616
2049	0.5714968058
2050	0.5714919966
2051	0.5714876497
2052	0.5714802215
2053	0.5714721791
2054	0.5714647678
2055	0.5714537318
2056	0.5714477549
2057	0.5714407148
2058	0.57142869
2059	0.5714235905
2060	0.5714173537
2061	0.5714075597
2062	0.5714012622
2063	0.57139243
2064	0.5713848365
2065	0.5713753935
2066	0.5713696595
2067	0.5713543509
2068	0.5713470848
2069	0.5713438145
2070	0.5713356303
2071	0.5713271458
2072	0.5713181213
2073	0.5713131501
2074	0.5713065015
2075	0.5713015471
2076	0.5712944666
2077	0.5712856614
2078	0.5712787125
2079	0.5712717332
2080	0.571265088
2081	0.5712585069
2082	0.5712510518
2083	0.5712453718
2084	0.5712395163
2085	0.5712329521
2086	0.5712265837
2087	0.5712202659
2088	0.571210752
2089	0.5712052981
2090	0.5711968946
2091	0.5711917006
2092	0.57118894
2093	0.5711806714
2094	0.5711723084
2095	0.5711640635
2096	0.5711558861
2097	0.5711485828
2098	0.5711406923
2099	0.5711341618
2100	0.5711238954
2101	0.5711185293
2102	0.5711143916
2103	0.5711088163
2104	0.5711017188
2105	0.5710946147
2106	0.5710891507
2107	0.5710854484
2108	0.5710776524
2109	0.5710712974
2110	0.5710632213
2111	0.5710553341
2112	0.5710491918
2113	0.57104201
2114	0.571032081
2115	0.5710248654
2116	0.5710173799
2117	0.5710124897
2118	0.5710043696
2119	0.5709935193
2120	0.5709834418
2121	0.5709757032
2122	0.5709690411
2123	0.570962973
2124	0.5709566248
2125	0.57094649
2126	0.5709392575
2127	0.5709304389
2128	0.5709220185
2129	0.5709160753
2130	0.5709095516
2131	0.5709017961
2132	0.5708950496
2133	0.5708905002
2134	0.5708840947
2135	0.5708774495
2136	0.570871027
2137	0.5708623468
2138	0.5708552055
2139	0.5708504806
2140	0.5708328669
2141	0.570827376
2142	0.5708217264
2143	0.5708112102
2144	0.5708020777
2145	0.5707954021
2146	0.570786381
2147	0.5707800125
2148	0.570771636
2149	0.5707634282
2150	0.5707574175
2151	0.5707483188
2152	0.5707423249
2153	0.5707346976
2154	0.5707306882
2155	0.5707237596
2156	0.5707168882
2157	0.5707114546
2158	0.5707042762
2159	0.5706972125
2160	0.5706899497
2161	0.570679123
2162	0.5706718636
2163	0.5706632812
2164	0.5706549553
2165	0.5706494475
2166	0.5706424479
2167	0.5706351412
2168	0.5706284353
2169	0.5706244833
2170	0.5706173453
2171	0.5706108453
2172	0.5706042372
2173	0.5705987665
2174	0.5705912506
2175	0.570583279
2176	0.570574781
2177	0.5705694588
2178	0.5705605456
2179	0.5705525539
2180	0.5705461955
2181	0.5705380485
2182	0.5705347242
2183	0.5705306777
2184	0.5705240933
2185	0.5705163242
2186	0.5705052377
2187	0.5704978331
2188	0.570488947
2189	0.570478748
2190	0.5704737498
2191	0.5704688562
2192	0.5704629129
2193	0.5704547052
2194	0.5704487957
2195	0.5704397948
2196	0.570429795
2197	0.5704196095
2198	0.5704139228
2199	0.5704065925
2200	0.5703994208
2201	0.5703924516
2202	0.570386451
2203	0.5703815878
2204	0.570375189
2205	0.5703715069
2206	0.5703655435
2207	0.570356492
2208	0.5703484023
2209	0.5703411631
2210	0.570333789
2211	0.5703278559
2212	0.5703151662
2213	0.5703071036
2214	0.5702993042
2215	0.5702913731
2216	0.5702842352
2217	0.5702766282
2218	0.5702646607
2219	0.5702600844
2220	0.5702546811
2221	0.5702458558
2222	0.570241033
2223	0.5702339052
2224	0.5702268348
2225	0.5702201255
2226	0.5702129808
2227	0.5702059036
2228	0.5702005105
2229	0.5701924917
2230	0.5701857588
2231	0.5701796198
2232	0.5701753944
2233	0.5701670888
2234	0.5701601128
2235	0.5701529277
2236	0.5701472882
2237	0.5701385641
2238	0.5701328571
2239	0.5701257327
2240	0.5701216625
2241	0.5701145347
2242	0.5701068534
2243	0.5701003095
2244	0.5700928881
2245	0.5700819972
2246	0.5700751023
2247	0.5700684301
2248	0.5700626961
2249	0.5700555413
2250	0.5700490244
2251	0.5700446809
2252	0.5700379108
2253	0.5700311779
2254	0.5700249073
2255	0.5700165611
2256	0.5700085255
